"SRC","EPSG","Hemisferio"
"NAD83 / California zone 2 (ftUS)",2226,"unknown"
"NAD83 / California zone 3 (ftUS)",2227,"unknown"
"NAD83 / California zone 4 (ftUS)",2228,"unknown"
"NAD83 / California zone 5 (ftUS)",2229,"unknown"
"NAD83 / California zone 6 (ftUS)",2230,"unknown"
"NAD83 / Colorado North (ftUS)",2231,"unknown"
"NAD83 / Colorado Central (ftUS)",2232,"unknown"
"NAD83 / Colorado South (ftUS)",2233,"unknown"
"NAD83 / Connecticut (ftUS)",2234,"unknown"
"NAD83 / Delaware (ftUS)",2235,"unknown"
"NAD83 / Florida East (ftUS)",2236,"unknown"
"NAD83 / Florida West (ftUS)",2237,"unknown"
"NAD83 / Florida North (ftUS)",2238,"unknown"
"NAD83 / Georgia East (ftUS)",2239,"unknown"
"NAD83 / Georgia West (ftUS)",2240,"unknown"
"NAD83 / Idaho East (ftUS)",2241,"unknown"
"NAD83 / Idaho Central (ftUS)",2242,"unknown"
"NAD83 / Idaho West (ftUS)",2243,"unknown"
"NAD83 / Kentucky North (ftUS)",2246,"unknown"
"NAD83 / Kentucky South (ftUS)",2247,"unknown"
"NAD83 / Maryland (ftUS)",2248,"unknown"
"NAD83 / Massachusetts Mainland (ftUS)",2249,"unknown"
"NAD83 / Massachusetts Island (ftUS)",2250,"unknown"
"NAD83 / Michigan North (ft)",2251,"unknown"
"NAD83 / Michigan Central (ft)",2252,"unknown"
"NAD83 / Michigan South (ft)",2253,"unknown"
"NAD83 / Mississippi East (ftUS)",2254,"unknown"
"NAD83 / Mississippi West (ftUS)",2255,"unknown"
"NAD83 / Montana (ft)",2256,"unknown"
"NAD83 / New Mexico East (ftUS)",2257,"unknown"
"NAD83 / New Mexico Central (ftUS)",2258,"unknown"
"NAD83 / New Mexico West (ftUS)",2259,"unknown"
"NAD83 / New York East (ftUS)",2260,"unknown"
"NAD83 / New York Central (ftUS)",2261,"unknown"
"NAD83 / New York West (ftUS)",2262,"unknown"
"NAD83 / New York Long Island (ftUS)",2263,"unknown"
"NAD83 / North Carolina (ftUS)",2264,"unknown"
"NAD83 / North Dakota North (ft)",2265,"unknown"
"NAD83 / North Dakota South (ft)",2266,"unknown"
"NAD83 / Oklahoma North (ftUS)",2267,"unknown"
"NAD83 / Oklahoma South (ftUS)",2268,"unknown"
"NAD83 / Oregon North (ft)",2269,"unknown"
"NAD83 / Oregon South (ft)",2270,"unknown"
"NAD83 / Pennsylvania North (ftUS)",2271,"unknown"
"NAD83 / Pennsylvania South (ftUS)",2272,"unknown"
"NAD83 / South Carolina (ft)",2273,"unknown"
"NAD83 / Tennessee (ftUS)",2274,"unknown"
"NAD83 / Texas North (ftUS)",2275,"unknown"
"NAD83 / Texas North Central (ftUS)",2276,"unknown"
